Year,Month,Transect#,ON/OFF,Stipes,Nereocystis,Pterogophora,Lami. Sech,Avg Temp
2006,September,120,OFF,4,,,,
2006,September,120,OFF,,,,,
2006,September,110,ON,23,,,,
2006,September,110,ON,39,,,,
2006,September,110,ON,25,,,,
2006,September,110,ON,,,,,
2006,September,130,ON,6,,,,
2006,September,130,ON,2,,,,
2006,September,130,ON,1,,,,
2006,September,130,ON,,,,,
2006,September,150,ON,2,,,,
2006,September,150,ON,6,,,,
2006,September,150,ON,6,,,,
2006,September,150,ON,4,,,,
2006,September,150,ON,120,,,,
2006,September,150,ON,,,,,
2006,September,150,ON,1,,,,
2006,September,150,ON,1,,,,
2006,September,150,ON,75,,,,
2006,September,150,ON,,,,,
2006,September,130,ON,2,,,,
2006,September,130,ON,4,,,,
2006,September,130,ON,2,,,,
2006,September,130,ON,1,,,,
2006,September,130,ON,1,,,,
2006,September,130,ON,,,,,
2006,September,110,ON,17,,,,
2006,September,110,ON,14,,,,
2006,September,110,ON,10,,,,
2006,September,110,ON,44,,,,
2006,September,110,ON,8,,,,
2006,September,110,ON,2,,,,
2006,September,110,ON,2,,,,
2006,September,110,ON,,,,,
2006,September,120,OFF,13,,,,
2006,September,120,OFF,18,,,,
2006,September,120,OFF,18,,,,
2006,September,120,OFF,2,,,,
2006,September,120,OFF,2,,,,
2006,September,120,OFF,1,,,,
2006,September,120,OFF,,,,,
2006,September,160,OFF,2,,,,
2006,September,160,OFF,6,,,,
2006,September,160,OFF,2,,,,
2006,September,160,OFF,2,,,,
2006,September,160,OFF,2,,,,
2006,September,160,OFF,2,,,,
2006,September,160,OFF,,,,,
2006,September,160,OFF,6,,,,
2006,September,160,OFF,5,,,,
2006,September,160,OFF,4,,,,
2006,September,160,OFF,2,,,,
2006,September,160,OFF,3,,,,
2006,September,160,OFF,5,,,,
2006,September,160,OFF,2,,,,
2006,September,160,OFF,,,,,
2006,September,170,ON,6,,,,
2006,September,170,ON,12,,,,
2006,September,170,ON,13,,,,
2006,September,170,ON,8,,,,
2006,September,170,ON,17,,,,
2006,September,170,ON,2,,,,
2006,September,170,ON,13,,,,
2006,September,170,ON,6,,,,
2006,September,170,ON,6,,,,
2006,September,170,ON,17,,,,
2006,September,170,ON,4,,,,
2006,September,170,ON,25,,,,
2006,September,170,ON,,,,,
2006,September,170,ON,8,,,,
2006,September,170,ON,3,,,,
2006,September,170,ON,5,,,,
2006,September,170,ON,3,,,,
2006,September,170,ON,1,,,,
2006,September,170,ON,28,,,,
2006,September,170,ON,4,,,,
2006,September,170,ON,1,,,,
2006,September,170,ON,1,,,,
2006,September,170,ON,2,,,,
2006,September,170,ON,8,,,,
2006,September,170,ON,3,,,,
2006,September,170,ON,6,,,,
2006,September,170,ON,2,,,,
2006,September,170,ON,1,,,,
2006,September,170,ON,,,,,
2006,September,140,OFF,29,,,,
2006,September,140,,39,,,,
2006,September,140,,3,,,,
2006,September,140,,4,,,,
2006,September,140,,2,,,,
2006,September,140,,5,,,,
2006,September,140,,2,,,,
2006,September,140,,,,,,
2006,September,140,,2,,,,
2006,September,140,,5,,,,
2006,September,140,,1,,,,
2006,September,140,,2,,,,
2006,September,140,,,,,,
2007,June,50,OFF,,,,,
2007,June,50,,4,,,,
2007,June,50,OFF,,,,,
2007,June,50,,44,,,,
2007,June,50,,2,,,,
2007,June,50,,46,,,,
2007,June,60,ON,,,,,
2007,June,60,,17,,,,
2007,June,60,,2,,,,
2007,June,60,,52,,,,
2007,June,60,,26,,,,
2007,June,60,,33,,,,
2007,June,60,,55,,,,
2007,June,60,,25,,,,
2007,June,60,ON,,6,,,
2007,June,60,,22,,,,
2007,June,60,,43,,,,
2007,June,60,,46,,,,
2007,June,60,,28,,,,
2007,June,60,,36,,,,
2007,June,70,OFF,,,,,
2007,June,70,,2,,,,
2007,June,70,,73,,,,
2007,June,70,,75,,,,
2007,June,70,,3,,,,
2007,June,70,,3,,,,
2007,June,70,OFF,,,,,
2007,June,70,,3,,,,
2007,June,70,,80,,,,
2007,June,80,OFF,,1,,,
2007,June,80,,4,,,,
2007,June,80,,1,,,,
2007,June,80,OFF,,7,,,
2007,June,80,,2,,,,
2007,June,80,,1,,,,
2007,June,80,,4,,,,
2007,June,80,,2,,,,
2007,June,90,OFF,,16,,,
2007,June,90,,2,,,,
2007,June,90,,2,,,,
2007,June,90,,3,,,,
2007,June,90,,2,,,,
2007,June,90,OFF,,3,,,
2007,June,90,,2,,,,
2007,June,90,,2,,,,
2007,June,90,,1,,,,
2007,June,90,,2,,,,
2007,June,90,,1,,,,
2007,June,90,,2,,,,
2007,June,90,,1,,,,
2007,June,90,,4,,,,
2007,June,90,,1,,,,
2007,June,90,,2,,,,
2007,June,90,,4,,,,
2007,June,90,,2,,,,
2007,June,90,,2,,,,
2007,June,90,,1,,,,
2007,June,90,,1,,,,
2007,June,90,,1,,,,
2007,June,90,,4,,,,
2007,June,90,,2,,,,
2007,June,110,OFF,,,,,
2007,June,110,,3,,,,
2007,June,110,,5,,,,
2007,June,110,,7,,,,
2007,June,110,,9,,,,
2007,June,110,,6,,,,
2007,June,110,,7,,,,
2007,June,110,,9,,,,
2007,June,110,,4,,,,
2007,June,110,,8,,,,
2007,June,110,,6,,,,
2007,June,110,,9,,,,
2007,June,110,,5,,,,
2007,June,110,,9,,,,
2007,June,110,,5,,,,
2007,June,110,,2,,,,
2007,June,110,,2,,,,
2007,June,110,,5,,,,
2007,June,110,,7,,,,
2007,June,110,,4,,,,
2007,June,110,,22,,,,
2007,June,110,,4,,,,
2007,June,110,,6,,,,
2007,June,110,OFF,,,,,
2007,June,110,,5,,,,
2007,June,110,,8,,,,
2007,June,110,,9,,,,
2007,June,110,,12,,,,
2007,June,110,,20,,,,
2007,June,110,,5,,,,
2007,June,110,,16,,,,
2007,June,110,,11,,,,
2007,June,110,,4,,,,
2007,June,110,,6,,,,
2007,June,110,,7,,,,
2007,June,110,,15,,,,
2007,June,110,,6,,,,
2007,June,110,,20,,,,
2007,June,110,,4,,,,
2007,June,110,,15,,,,
2007,June,110,,10,,,,
2007,June,110,,12,,,,
2007,June,110,,15,,,,
2007,June,110,,10,,,,
2007,June,120,ON,,9,,,
2007,June,120,,43,,,,
2007,June,120,,4,,,,
2007,June,120,,2,,,,
2007,June,120,,9,,,,
2007,June,120,,8,,,,
2007,June,120,,4,,,,
2007,June,120,,2,,,,
2007,June,120,,10,,,,
2007,June,120,,3,,,,
2007,June,120,,6,,,,
2007,June,120,,3,,,,
2007,June,120,,3,,,,
2007,June,120,,2,,,,
2007,June,120,,9,,,,
2007,June,120,,3,,,,
2007,June,120,,3,,,,
2007,June,120,,1,,,,
2007,June,120,,2,,,,
2007,June,120,,8,,,,
2007,June,120,,8,,,,
2007,June,120,,3,,,,
2007,June,120,,15,,,,
2007,June,120,,3,,,,
2007,June,120,,8,,,,
2007,June,120,,2,,,,
2007,June,120,,3,,,,
2007,June,120,,1,,,,
2007,June,120,,4,,,,
2007,June,120,,3,,,,
2007,June,120,,20,,,,
2007,June,120,,3,,,,
2007,June,120,,2,,,,
2007,June,120,,2,,,,
2007,June,120,,1,,,,
2007,June,120,,5,,,,
2007,June,120,ON,,,,,
2007,June,120,,2,,,,
2007,June,120,,2,,,,
2007,June,120,,3,,,,
2007,June,120,,2,,,,
2007,June,120,,6,,,,
2007,June,120,,11,,,,
2007,June,120,,15,,,,
2007,June,120,,10,,,,
2007,June,120,,5,,,,
2007,June,120,,5,,,,
2007,June,120,,10,,,,
2007,June,120,,3,,,,
2007,June,120,,8,,,,
2007,June,120,,2,,,,
2007,June,120,,3,,,,
2007,June,120,,5,,,,
2007,June,120,,32,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,2,,,,
2007,June,120,,6,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,2,,,,
2007,June,120,,4,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,2,,,,
2007,June,120,,7,,,,
2007,June,120,,4,,,,
2007,June,120,,3,,,,
2007,June,120,,2,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,3,,,,
2007,June,120,,3,,,,
2007,June,120,,9,,,,
2007,June,120,,2,,,,
2007,June,120,,6,,,,
2007,June,120,,6,,,,
2007,June,120,,5,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,5,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,1,,,,
2007,June,120,,3,,,,
2007,June,120,,20,,,,
2007,June,120,,5,,,,
2007,June,120,,7,,,,
2007,June,120,,22,,,,
2007,June,120,,13,,,,
2007,June,130,OFF,,,,,
2007,June,130,,6,,,,
2007,June,130,,28,,,,
2007,June,130,,7,,,,
2007,June,130,,2,,,,
2007,June,130,,7,,,,
2007,June,130,,9,,,,
2007,June,130,,7,,,,
2007,June,130,,6,,,,
2007,June,130,,5,,,,
2007,June,130,,7,,,,
2007,June,130,,10,,,,
2007,June,130,,8,,,,
2007,June,130,,4,,,,
2007,June,130,,12,,,,
2007,June,130,,57,,,,
2007,June,130,,4,,,,
2007,June,130,,3,,,,
2007,June,130,,20,,,,
2007,June,130,,5,,,,
2007,June,130,,9,,,,
2007,June,130,OFF,,,,,
2007,June,130,,3,,,,
2007,June,130,,4,,,,
2007,June,130,,7,,,,
2007,June,130,,6,,,,
2007,June,130,,7,,,,
2007,June,130,,5,,,,
2007,June,130,,10,,,,
2007,June,130,,6,,,,
2007,June,130,,2,,,,
2007,June,130,,2,,,,
2007,June,130,,4,,,,
2007,June,130,,4,,,,
2007,June,130,,6,,,,
2007,June,130,,4,,,,
2007,June,130,,13,,,,
2007,June,130,,24,,,,
2007,June,130,,7,,,,
2007,June,130,,10,,,,
2007,June,130,,5,,,,
2007,June,130,,4,,,,
2007,June,140,ON,,,,,
2007,June,140,,2,,,,
2007,June,140,,5,,,,
2007,June,140,,3,,,,
2007,June,140,,1,,,,
2007,June,140,,1,,,,
2007,June,140,,2,,,,
2007,June,140,,2,,,,
2007,June,140,,2,,,,
2007,June,140,,4,,,,
2007,June,140,,9,,,,
2007,June,140,,7,,,,
2007,June,140,,7,,,,
2007,June,140,,1,,,,
2007,June,140,,3,,,,
2007,June,140,,10,,,,
2007,June,140,,7,,,,
2007,June,140,,7,,,,
2007,June,140,ON,,4,,,
2007,June,140,,34,,,,
2007,June,140,,2,,,,
2007,June,140,,4,,,,
2007,June,140,,18,,,,
2007,June,140,,7,,,,
2007,June,140,,7,,,,
2007,June,140,,10,,,,
2007,June,140,,6,,,,
2007,June,140,,15,,,,
2007,June,140,,25,,,,
2007,June,140,,2,,,,
2007,June,140,,5,,,,
2007,June,140,,10,,,,
2007,June,140,,27,,,,
2007,June,140,,19,,,,
2007,June,140,,3,,,,
2007,June,140,,2,,,,
2007,June,140,,19,,,,
2007,June,140,,2,,,,
2007,June,140,,2,,,,
2007,June,140,,4,,,,
2007,June,140,,5,,,,
2007,June,140,,4,,,,
2007,June,140,,20,,,,
2007,June,140,,23,,,,
2007,June,140,,13,,,,
2007,June,140,,9,,,,
2007,June,140,,1,,,,
2007,June,140,,2,,,,
2007,June,150,OFF,,,,,
2007,June,150,,5,,,,
2007,June,150,,6,,,,
2007,June,150,,6,,,,
2007,June,150,,6,,,,
2007,June,150,,7,,,,
2007,June,150,,8,,,,
2007,June,150,,9,,,,
2007,June,150,,5,,,,
2007,June,150,,14,,,,
2007,June,150,,4,,,,
2007,June,150,,11,,,,
2007,June,150,,6,,,,
2007,June,150,,5,,,,
2007,June,150,,7,,,,
2007,June,150,,17,,,,
2007,June,150,,1,,,,
2007,June,150,,2,,,,
2007,June,150,,16,,,,
2007,June,150,,7,,,,
2007,June,150,,7,,,,
2007,June,150,OFF,,,,,
2007,June,150,,13,,,,
2007,June,150,,3,,,,
2007,June,150,,5,,,,
2007,June,150,,3,,,,
2007,June,150,,9,,,,
2007,June,150,,1,,,,
2007,June,150,,2,,,,
2007,June,150,,14,,,,
2007,June,150,,6,,,,
2007,June,150,,3,,,,
2007,June,150,,7,,,,
2007,June,150,,9,,,,
2007,June,150,,8,,,,
2007,June,150,,2,,,,
2007,June,150,,1,,,,
2007,June,150,,6,,,,
2007,June,150,,4,,,,
2007,June,150,,4,,,,
2007,June,150,,3,,,,
2007,June,150,,10,,,,
2008,June,70,Off,14,,,,
2008,June,70,Off,2,,,,
2008,June,70,Off,2,,,,
2008,June,70,Off,,1,,,
2008,June,70,Off,2,,,,
2008,June,70,Off,3,,,,
2008,June,70,Off,,6,,,
2008,June,80,On,32,,,,
2008,June,80,On,60,,,,
2008,June,80,On,42,,,,
2008,June,80,On,82,,,,
2008,June,80,On,26,,,,
2008,June,80,On,3,,,,
2008,June,80,On,,7,,,
2008,June,80,On,45,,,,
2008,June,80,On,47,,,,
2008,June,80,On,52,,,,
2008,June,80,On,8,,,,
2008,June,80,On,1,,,,
2008,June,80,On,,11,,,
2008,June,90,Off,1,,,,
2008,June,90,Off,15,,,,
2008,June,90,Off,6,,,,
2008,June,90,Off,3,,,,
2008,June,90,Off,6,,,,
2008,June,90,Off,10,,,,
2008,June,90,Off,13,,,,
2008,June,90,Off,12,,,,
2008,June,90,Off,9,,,,
2008,June,90,Off,10,,,,
2008,June,90,Off,14,,,,
2008,June,90,Off,2,,,,
2008,June,90,Off,5,,,,
2008,June,90,Off,9,,,,
2008,June,90,Off,18,,,,
2008,June,90,Off,7,,,,
2008,June,90,Off,23,,,,
2008,June,90,Off,4,,,,
2008,June,90,Off,6,,,,
2008,June,90,Off,5,,,,
2008,June,90,Off,20,,,,
2008,June,90,Off,4,,,,
2008,June,90,Off,,71,,,
2008,June,90,Off,10,,,,
2008,June,90,Off,2,,,,
2008,June,90,Off,11,,,,
2008,June,90,Off,2,,,,
2008,June,90,Off,4,,,,
2008,June,90,Off,4,,,,
2008,June,90,Off,2,,,,
2008,June,90,Off,4,,,,
2008,June,90,Off,7,,,,
2008,June,90,Off,16,,,,
2008,June,90,Off,4,,,,
2008,June,90,Off,2,,,,
2008,June,90,Off,3,,,,
2008,June,90,Off,2,,,,
2008,June,90,Off,40,,,,
2008,June,90,Off,17,,,,
2008,June,90,Off,20,,,,
2008,June,90,Off,1,,,,
2008,June,90,Off,,53,,,
2008,June,100,On,7,,,,
2008,June,100,On,19,,,,
2008,June,100,On,1,,,,
2008,June,100,On,8,,,,
2008,June,100,On,27,,,,
2008,June,100,On,21,,,,
2008,June,100,On,7,,,,
2008,June,100,On,,13,,,
2008,June,100,On,25,,,,
2008,June,100,On,32,,,,
2008,June,100,On,4,,,,
2008,June,100,On,12,,,,
2008,June,100,On,5,,,,
2008,June,100,On,6,,,,
2008,June,100,On,25,,,,
2008,June,100,On,24,,,,
2008,June,100,On,27,,,,
2008,June,100,On,20,,,,
2008,June,100,On,15,,,,
2008,June,100,On,2,,,,
2008,June,100,On,,36,,,
2008,June,110,Off,5,,,,
2008,June,110,Off,4,,,,
2008,June,110,Off,8,,,,
2008,June,110,Off,9,,,,
2008,June,110,Off,10,,,,
2008,June,110,Off,8,,,,
2008,June,110,Off,15,,,,
2008,June,110,Off,11,,,,
2008,June,110,Off,8,,,,
2008,June,110,Off,6,,,,
2008,June,110,Off,12,,,,
2008,June,110,Off,5,,,,
2008,June,110,Off,20,,,,
2008,June,110,Off,8,,,,
2008,June,110,Off,5,,,,
2008,June,110,Off,,44,,,
2008,June,110,Off,5,,,,
2008,June,110,Off,3,,,,
2008,June,110,Off,15,,,,
2008,June,110,Off,5,,,,
2008,June,110,Off,11,,,,
2008,June,110,Off,7,,,,
2008,June,110,Off,17,,,,
2008,June,110,Off,8,,,,
2008,June,110,Off,10,,,,
2008,June,110,Off,15,,,,
2008,June,110,Off,4,,,,
2008,June,110,Off,7,,,,
2008,June,110,Off,22,,,,
2008,June,110,Off,13,,,,
2008,June,110,Off,25,,,,
2008,June,110,Off,15,,,,
2008,June,110,Off,2,,,,
2008,June,110,Off,5,,,,
2008,June,110,Off,17,,,,
2008,June,110,Off,7,,,,
2008,June,110,Off,,38,,,
2008,June,120,On,4,,,,
2008,June,120,On,6,,,,
2008,June,120,On,2,,,,
2008,June,120,On,1,,,,
2008,June,120,On,3,,,,
2008,June,120,On,5,,,,
2008,June,120,On,3,,,,
2008,June,120,On,2,,,,
2008,June,120,On,3,,,,
2008,June,120,On,1,,,,
2008,June,120,On,5,,,,
2008,June,120,On,,6,,,
2008,June,120,On,28,,,,
2008,June,120,On,6,,,,
2008,June,120,On,4,,,,
2008,June,120,On,3,,,,
2008,June,120,On,14,,,,
2008,June,120,On,10,,,,
2008,June,120,On,23,,,,
2008,June,120,On,9,,,,
2008,June,120,On,30,,,,
2008,June,120,On,13,,,,
2008,June,120,On,5,,,,
2008,June,120,On,45,,,,
2008,June,120,On,,3,,,
2008,June,130,Off,22,,,,
2008,June,130,Off,3,,,,
2008,June,130,Off,9,,,,
2008,June,130,Off,2,,,,
2008,June,130,Off,5,,,,
2008,June,130,Off,13,,,,
2008,June,130,Off,18,,,,
2008,June,130,Off,6,,,,
2008,June,130,Off,8,,,,
2008,June,130,Off,5,,,,
2008,June,130,Off,28,,,,
2008,June,130,Off,32,,,,
2008,June,130,Off,13,,,,
2008,June,130,Off,15,,,,
2008,June,130,Off,25,,,,
2008,June,130,Off,23,,,,
2008,June,130,Off,18,,,,
2008,June,130,Off,,23,,,
2008,June,130,Off,3,,,,
2008,June,130,Off,5,,,,
2008,June,130,Off,1,,,,
2008,June,130,Off,2,,,,
2008,June,130,Off,6,,,,
2008,June,130,Off,3,,,,
2008,June,130,Off,6,,,,
2008,June,130,Off,2,,,,
2008,June,130,Off,4,,,,
2008,June,130,Off,2,,,,
2008,June,130,Off,1,,,,
2008,June,130,Off,11,,,,
2008,June,130,Off,3,,,,
2008,June,130,Off,1,,,,
2008,June,130,Off,11,,,,
2008,June,130,Off,,38,,,
2008,June,140,On,24,,,,
2008,June,140,On,21,,,,
2008,June,140,On,33,,,,
2008,June,140,On,31,,,,
2008,June,140,On,7,,,,
2008,June,140,On,56,,,,
2008,June,140,On,6,,,,
2008,June,140,On,13,,,,
2008,June,140,On,,1,,,
2008,June,140,On,25,,,,
2008,June,140,On,8,,,,
2008,June,140,On,40,,,,
2008,June,140,On,20,,,,
2008,June,140,On,20,,,,
2008,June,140,On,30,,,,
2008,June,140,On,15,,,,
2008,June,140,On,7,,,,
2008,June,140,On,28,,,,
2008,June,140,On,40,,,,
2008,June,140,On,25,,,,
2008,June,140,On,23,,,,
2008,June,140,On,13,,,,
2008,June,140,On,,10,,,
2008,June,150,Off,10,,,,
2008,June,150,Off,4,,,,
2008,June,150,Off,18,,,,
2008,June,150,Off,4,,,,
2008,June,150,Off,9,,,,
2008,June,150,Off,1,,,,
2008,June,150,Off,1,,,,
2008,June,150,Off,10,,,,
2008,June,150,Off,2,,,,
2008,June,150,Off,14,,,,
2008,June,150,Off,2,,,,
2008,June,150,Off,14,,,,
2008,June,150,Off,21,,,,
2008,June,150,Off,2,,,,
2008,June,150,Off,3,,,,
2008,June,150,Off,3,,,,
2008,June,150,Off,8,,,,
2008,June,150,Off,11,,,,
2008,June,150,Off,2,,,,
2008,June,150,Off,4,,,,
2008,June,150,Off,,17,,,
2008,June,150,Off,14,,,,
2008,June,150,Off,10,,,,
2008,June,150,Off,20,,,,
2008,June,150,Off,4,,,,
2008,June,150,Off,6,,,,
2008,June,150,Off,2,,,,
2008,June,150,Off,4,,,,
2008,June,150,Off,11,,,,
2008,June,150,Off,2,,,,
2008,June,150,Off,4,,,,
2008,June,150,Off,13,,,,
2008,June,150,Off,3,,,,
2008,June,150,Off,3,,,,
2008,June,150,Off,3,,,,
2008,June,150,Off,16,,,,
2008,June,150,Off,3,,,,
2008,June,150,Off,5,,,,
2008,June,150,Off,17,,,,
2008,June,150,Off,,48,,,
2008,June,160,On,3,,,,
2008,June,160,On,2,,,,
2008,June,160,On,3,,,,
2008,June,160,On,4,,,,
2008,June,160,On,10,,,,
2008,June,160,On,9,,,,
2008,June,160,On,38,,,,
2008,June,160,On,1,,,,
2008,June,160,On,11,,,,
2008,June,160,On,1,,,,
2008,June,160,On,22,,,,
2008,June,160,On,1,,,,
2008,June,160,On,3,,,,
2008,June,160,On,6,,,,
2008,June,160,On,13,,,,
2008,June,160,On,4,,,,
2008,June,160,On,2,,,,
2008,June,160,On,2,,,,
2008,June,160,On,3,,,,
2008,June,160,On,3,,,,
2008,June,160,On,,58,,,
2008,June,160,On,18,,,,
2008,June,160,On,5,,,,
2008,June,160,On,1,,,,
2008,June,160,On,25,,,,
2008,June,160,On,35,,,,
2008,June,160,On,3,,,,
2008,June,160,On,15,,,,
2008,September,50,OFF,47,,,,13.7
2008,September,50,,84,,,,
2008,September,50,,16,,,,
2008,September,50,,3,,,,
2008,September,50,,9,,,,
2008,September,50,,26,,,,
2008,September,50,,,6,,,
2008,September,50,OFF,23,,,,
2008,September,50,,27,,,,
2008,September,50,,2,,,,
2008,September,50,,33,,,,
2008,September,50,,10,,,,
2008,September,50,,13,,,,
2008,September,50,,5,,,,
2008,September,50,,,4,,,
2008,September,60,ON,47,,,,
2008,September,60,,45,,,,
2008,September,60,,,0,,,
2008,September,60,ON,44,,,,
2008,September,60,,21,,,,
2008,September,60,,,0,,,
2008,September,70,OFF,5,,,,
2008,September,70,,4,,,,
2008,September,70,,15,,,,
2008,September,70,,2,,,,
2008,September,70,,35,,,,
2008,September,70,,10,,,,
2008,September,70,,3,,,,
2008,September,70,,4,,,,
2008,September,70,,1,,,,
2008,September,70,,,6,,,
2008,September,80,ON,29,,,,
2008,September,80,,6,,,,
2008,September,80,,39,,,,
2008,September,80,,14,,,,
2008,September,80,,3,,,,
2008,September,80,,27,,,,
2008,September,80,,26,,,,
2008,September,80,,25,,,,
2008,September,80,,,0,,,
2008,September,80,ON,10,,,,
2008,September,80,,14,,,,
2008,September,80,,16,,,,
2008,September,80,,44,,,,
2008,September,80,,1,,,,
