Year,Month,Transect#,red ab,pinto ab,green ab,pink ab,unkn ab,ca lob,ca cumb,wart cumb,bat star,short star,giant spine sea star,sunflower star,cowry,kellet's whelk,red turban snail,keyhole limpet,rock crab,sheep/mask,gumboot chiton,rock scallop,anemome,red urchin,purple urchin,black ab,white ab,decorator crab,orange puff ball sponge,stalked tunicate,FishEatingAnemone,WhiteSpottedAnemone,cancer crab,sheep crab,sea hare,red gorgonian,decorator carb,cucumber
2009,September,150,,,,,,,,,20,,1,2,,,,,,,1,,,,,,,,16,,6,5,,,,,,
2009,September,150,,,,,,,,,28,,1,1,,,,,,,,,,,,,,,18,15,,2,,,,,,
2009,September,50,,,,,,,,,32,,,2,,,1,,,,,,,,,,,,14,,,,,,,,,
2009,September,50,,,,,,,,,56,,1,1,,,,,,,,,,,,,,,5,,,,,,,,,
2009,September,60,,,,,,,,,39,,,,,,,,,,1,,,,,,,,17,3,,3,,,,,,
2009,September,60,,,,,,,,,26,,1,1,,,,,,,,,,,,,,,10,2,1,1,,,,,,
2009,September,100,,,,,,,,,47,,,2,,,2,,,,,,,,,,,,6,2,3,1,,,,,,
2009,September,80,,,,,,,,,47,,11,1,,1,,,,,,,,,,,,,,,2,7,,,,,,
2009,September,80,,,,,,,,,69,,3,1,,,,,,,,,,,,,,,9,2,2,4,,,,,,
2009,September,130,,,,,,,,,18,,,1,,,,,,,,,,,,,,,14,1,3,,,,,,,
2009,September,130,,,,,,,,,11,,1,,,2,1,,,,,,,,,,,,12,,3,1,,,,,,
2009,September,160,,,,,,,,,49,,3,,,,1,,,,,1,,,,,,,13,9,1,2,,,,,,
2009,September,160,,,,,,,,,63,,14,,,,1,,,,,1,,,,,,,15,5,,10,,,,,,
2009,September,110,,,,,,,,,19,,,5,,,1,,,,,,,,,,,,3,3,,,,,,,,
2009,September,110,,,,,,,,,20,,,1,,,,,,,,,,,,,,,1,,,,,,,,,
2010,September,50,,,,,,,,,60,,,,,,1,,,,,1,,,,,,,16,10,1,,,,,,,
2010,September,60,,,,,,,,,45,,4,,,,5,1,,,,2,,,,,,,29,11,,4,,,,,,
2010,September,70,,,,,,,,,18,,,,,,,,,,,,,,,,,,3,1,,,,,,,,
2010,September,80,,,,,,,,,87,,3,2,,2,3,,,,1,,,,,,,,6,11,,3,,,,,,
2010,September,90,,,,,,,,,8,,1,1,,,,,,,,,,2,,,,,3,,,,,,,,,
2010,September,100,,,,,,,,,36,,7,4,,,1,,,,1,,,,1,,,1,16,23,3,3,,,,,,
2010,September,110,,,,,,,,,5,,1,2,,1,,,,,,,,,,,,,2,,,,1,,,,,
2010,September,120,,,,,,,,,38,,2,1,,,,,,,,,,,1,,,,16,1,1,,,,,,,
2010,September,130,,,,,,,,,22,,5,2,,,,,,,,,,,,,,,4,,1,,,,,,,
2010,September,140,,,,,,,,,27,,3,1,,,,,,,,,,,,,,,4,,,,,,,,,
2010,September,150,,,,,,,,,37,,4,,,,,,,,,,,,,,,,19,9,4,4,,,,,,
2010,September,160,,,,,,,,,33,,2,1,,,,,,,,,,,,,,,20,1,,5,,,,,,
2011,September,50m,,,,,,,,,15,,4,7,,,1,,,,,,,,,,,,10,7,3,1,2,,,,,
2011,September,60m,,,,,,,,,21,,1,3,,,,,,,1,,,,,,,,11,6,1,1,,,,,,
2011,September,70m,,,,,,,,,19,,4,5,,,2,,,,,,,,,,,,29,1,1,1,,,,,,
2011,September,80m,,,,,,,,,54.5,,26,,,,1,,,,2,,,,,,,,11,26,1,10,,,,,,
2011,September,90m,,,,,,,,,21,,7,,,1,,,,,,,,,,,,,2,3,4,,,,,,,
2011,September,100m,,,,,,,,,30,,20,6,,,,,,,,,,,,,,,,11,3,3,,,,,,
2011,September,110m,,,,,,,,,109,,10,4,,,2,,,,,,,,,,,,3,4,1,2,,,1,,,
2011,September,120m,,,,,,,,,139.8,,4,2,,1,2,,,,,,,,,,,,12,23,2,3,,,,,,
2011,September,130m,,,,,,,,,74,,14,8,,,,,,,1,,,,,,,,17,1,1,3,,,,,,
2011,September,140m,,,,,,,,,67,,5,1,,,,,,,3,,,,,,,,19,15,2,4,,,,,,
2011,September,150m,,,,,,,,,134.2,,9,3,,,26,,,,,,,,,,,,10,8,2,6,,,,,,
2011,September,160m,,,,,,,,,83.7,,15,5,,,2,,,,,,,,,,,,14,10,3,2,,1,,,,
2011,September,170m,,,,,,,,,76.5,,1,,,,,,,,,,,,,,,,12,5,1,2,,,,,,
2011,September,180m,,,,,,,,,79,,3,2,,,,,,,,,,,,,,,13,72,,11,,,,,,
2003,June,10,,,,,,,,,29,,2,2,,,,,,,,,,,,,,,3,6,,,,,,,,
2003,June,20,,,,,,,,,31,,6,1,,,,,,,,,,,,,,,3,1,,,,,,4,,
2003,June,30,,,,,,,,,77,,4,3,,,,,,,,,,,,,,,3,5,,,,,,,,
2003,June,40,,,,,,,,,72,,12,1,,,3,,,,,,,,,,,,8,2,,,,,,,,
2003,June,50,,,,,,,,,81,,2,,,,,,,,1,,,,,,,,5,9,,,,,,,,
2013,September,50,,,,,,,,,35,,0,14,,0,3,0,,,0,0,,0,0,,,,10,1,1,0,0,0,0,,0,
2013,September,60,,,,,,,,,26,,3,7,,0,3,0,,,0,1,,0,0,,,,16,19,2,3,0,0,0,,0,
2013,September,70,,,,,,,,,7,,5,10,,4,1,0,,,0,0,,0,0,,,,21,1,1,1,0,0,0,,0,
2013,September,80,,,,,,,,,41,,4,4,,0,0,0,,,1,0,,0,0,,,,18,1,4,1,1,0,0,,0,
2013,September,90,,,,,,,,,15,,14,8,,0,0,0,,,1,0,,0,0,,,,12,3,1,2,0,0,0,,0,
2013,September,100,,,,,,,,,33,,1,6,,0,1,0,,,0,0,,0,0,,,,12,6,6,0,0,0,0,,0,
2013,September,110,,,,,,,,,38,,4,4,,1,0,0,,,0,0,,0,0,,,,6,1,2,0,0,0,0,,0,
2013,September,120,,,,,,,,,30,,6,4,,0,0,0,,,3,2,,0,0,,,,15,16,1,5,0,0,0,,0,
2013,September,130,,,,,,,,,30,,2,5,,0,0,0,,,0,0,,0,0,,,,21,13,4,7,0,0,0,,0,
2013,September,140,,,,,,,,,30,,10,8,,1,1,0,,,0,0,,0,0,,,,21,14,1,7,0,0,0,,0,
2013,September,150,,,,,,,,,78,,7,4,,3,0,0,,,1,0,,0,0,,,,18,4,5,7,1,0,0,,0,
2013,September,160,,,,,,,,,73,,9,6,,0,0,0,,,0,0,,0,0,,,,23,9,1,11,0,0,0,,1,
2013,September,170,,,,,,,,,114,,3,4,,0,2,0,,,0,0,,0,0,,,,7,9,0,3,0,0,0,,0,
2013,September,180,,,,,,,,,81,,3,1,,0,2,0,,,0,0,,0,0,,,,12,54,2,3,1,0,0,,0,
2013,September,190,,,,,,,,,30,,1,11,,1,2,0,,,0,0,,0,0,,,,30,11,3,3,0,0,0,,0,
2013,September,200,,,,,,,,,30,,10,7,,0,2,0,,,0,0,,1,0,,,,20,6,1,8,0,0,0,,0,
2012,September,50,,,,,,,,,17,,3,1,,,,,,,,,,,,,,,6,,,,,,,,,
2012,September,60,,,,,,,,,26,,3,6,,,,,,,,,,,,,,,10,,5,3,,,,,,
2012,September,70,,,,,,,,,9,,8,8,,2,4,,,,1,,,,,,,,5,2,3,,,,,,,
2012,September,80,,,,,,,,,40,,4,2,,,4,,,,,,,,,,,,19,11,3,7,,,,,,
2012,September,90,,,,,,,,,24,,4,11,,,,,,,,,,,,,,,16,1,3,2,,,,,,
2012,September,100,,,,,,,,,66,,8,8,,,1,,,,,,,,,,,,14,5,2,5,,,,,,
2012,September,110,,,,,,,,,40,,5,,,,,,,,,,,,,,,,3,1,,1,,,,,,
2012,September,120,,,,,,,,,32,,4,,,,,,,,,,,,,,,,11,,,4,,,,,,
2012,September,130,,,,,,,,,57,,11,2,,,,,,,,,,,,,,,17,4,8,7,,,,,,
2012,September,140,,,,,,,,,112,,9,5,,,,,,,,,,,,,,,20,2,1,6,,,,,,
2012,September,150,,,,,,,,,123,,5,4,,,3,,,,,,,,,,,,10,5,3,7,,,,,,
2012,September,160,,,,,,,,,46,,5,5,,,,,,,1,,,,,,,,15,3,,1,,,,,,
2012,September,170,,,,,,,,,105,,4,1,,2,12,,,,1,,,,,,,,12,11,1,3,,,,,,
2012,September,180,,,,,,,,,59,,9,2,,,70,,,,1,,,,,,,,17,17,,8,,,,,,
2006,May,70,,,,,,,,,6,,5,0,,0,0,0,,,0,0,,0,0,,,,7,4,4,1,0,0,0,,0,
2006,May,70,,,,,,,,,3,,2,2,,0,0,0,,,0,0,,0,0,,,,1,2,1,0,0,0,0,,0,
2006,May,150,,,,,,,,,90,,2,1,,2,0,2,,,0,0,,0,0,,,,10,2,2,8,0,0,0,,0,
2006,May,150,,,,,,,,,71,,1,1,,0,0,0,,,0,0,,0,1,,,,9,0,8,4,0,0,0,,0,
2006,May,130,,,,,,,,,90,,6,1,,3,1,0,,,0,2,,0,0,,,,14,1,7,5,0,0,0,,0,
2006,May,130,,,,,,,,,90,,3,0,,2,1,1,,,0,1,,0,0,,,,13,8,1,4,0,1,0,,0,
2006,May,110,,,,,,,,,51,,1,1,,2,0,0,,,0,0,,0,0,,,,2,0,2,1,0,0,0,,0,
2006,May,110,,,,,,,,,59,,2,0,,2,3,0,,,0,0,,0,0,,,,12,0,0,0,0,1,0,,0,
2006,May,190,,,,,,,,,82,,4,2,,0,1,2,,,0,2,,0,0,,,,6,3,4,2,0,1,0,,0,
2006,May,90,,,,,,,,,56,,6,1,,7,29,0,,,1,8,,0,0,,,,9,6,4,0,0,0,0,,0,
2006,May,90,,,,,,,,,32,,1,1,,1,1,0,,,0,0,,0,0,,,,0,0,0,0,0,0,0,,0,
2006,May,170,,,,,,,,,56,,5,0,,0,1,0,,,0,0,,0,0,,,,6,2,5,2,0,0,0,,0,
2006,May,170,,,,,,,,,71,,11,2,,9,2,0,,,1,6,,0,1,,,,20,10,3,2,0,0,0,,0,
2007,June,50,,,,,,,,,38,,5,0,,0,0,0,,,1,0,,0,0,,,,10,0,0,0,0,0,0,,0,0
2007,June,60,,,,,,,,,72,,15,0,,0,0,0,,,0,10,,0,0,,,,9,3,0,2,0,0,0,,0,0
2007,June,70,,,,,,,,,36,,7,2,,0,11,0,,,0,0,,0,0,,,,5,1,4,0,0,0,0,,0,0
2007,June,80,,,,,,,,,22,,1,2,,1,0,0,,,0,0,,0,0,,,,4,0,1,0,0,0,0,,0,0
2007,June,90,,,,,,,,,3,,3,2,,1,0,0,,,0,0,,0,0,,,,8,0,1,0,0,0,0,,0,0
2007,June,110,,,,,,,,,47,,5,0,,0,0,0,,,2,0,,0,0,,,,7,0,2,0,0,0,0,,0,0
2007,June,120,,,,,,,,,89,,6,1,,1,0,0,,,2,0,,0,0,,,,7,23,1,6,0,0,0,,0,0
2007,June,130,,,,,,,,,60,,4,0,,1,2,0,,,3,1,,0,0,,,,11,22,2,2,0,1,0,,0,0
2007,June,140,,,,,,,,,76,,11,3,,0,5,0,,,5,2,,1,1,,,,9,8,1,10,0,0,0,,1,1
2007,June,150,,,,,,,,,71,,2,1,,0,0,1,,,1,0,,0,0,,,,6,1,1,0,0,0,0,,0,0
2008,June,70,,,,,,,,,11,,,2,,,3,,,,1,,,,,,,,9,,1,,,1,,,,1
2008,June,80,,,,,,,,,29,,5,2,,3,,,,,,,,,,,,,10,3,1,2,,,,,,
2008,June,90,,,,,,,,,2,,,,,,1,,,,1,,,,,,,,6,,1,,,,,,,
2008,June,100,,,,,,,,,43,,2,,,1,,,,,1,,,,,,,,5,,3,5,,,2,,,4
2008,June,110,,,,,,,,,10,,2,,,,,,,,,,,,,,,,20,2,2,1,,,,,,
2008,June,120,,,,,,,,,144,,5,,,,4,,,,,,,,,,,,12,,1,1,,,,,,
2008,June,130,,,,,,,,,82,,4,1,,,5,,,,3,,,,1,,,,8,,1,1,,,,,,
2008,June,140,,,,,,,,,90,,2,2,,,,,,,1,,,,,,,,23,,1,5,,,,,,
2008,June,160,,,,,,,,,90,,3,,,,,,,,,,,,,,,,18,7,,,,,,,,1
2007,June,50,,,,,,,,,38,,5,0,,0,0,0,,,1,0,,0,0,,,,10,0,0,0,0,0,0,,0,0
2007,June,60,,,,,,,,,72,,15,0,,0,0,0,,,0,10,,0,0,,,,9,3,0,2,0,0,0,,0,0
2007,June,70,,,,,,,,,36,,7,2,,0,11,0,,,0,0,,0,0,,,,5,1,4,0,0,0,0,,0,0
2007,June,80,,,,,,,,,22,,1,2,,1,0,0,,,0,0,,0,0,,,,4,0,1,0,0,0,0,,0,0
2007,June,90,,,,,,,,,3,,3,2,,1,0,0,,,0,0,,0,0,,,,8,0,1,0,0,0,0,,0,0
2007,June,110,,,,,,,,,47,,5,0,,0,0,0,,,2,0,,0,0,,,,7,0,2,0,0,0,0,,0,0
2007,June,120,,,,,,,,,89,,6,1,,1,0,0,,,2,0,,0,0,,,,7,23,1,6,0,0,0,,0,0
2007,June,130,,,,,,,,,60,,4,0,,1,2,0,,,3,1,,0,0,,,,11,22,2,2,0,1,0,,0,0
2007,June,140,,,,,,,,,76,,11,3,,0,5,0,,,5,2,,1,1,,,,9,8,1,10,0,0,0,,1,1
2007,June,150,,,,,,,,,71,,2,1,,0,0,1,,,1,0,,0,0,,,,6,1,1,0,0,0,0,,0,0
2010,June,160,,,,,,,,,40,,2,4,,,,,,,,,,,,,,,13,,,4,,,,,,
2010,June,150,,,,,,,,,16,,1,2,,,,,,,,,,,,,,,23,,,,,,,,,
2010,June,50,,,,,,,,,40,,25,1,,,,,,,,,,,1,,,,16,,,,,,,,,
2010,June,130,,,,,,,,,13,,2,1,,,,,,,,1,,,,,,,5,3,,,,,,,,
2010,June,60,,,,,,,,,90,,,1,,,,,,,,,,,,,,,17,2,,,,,,,,
2010,June,140,,,,,,,,,31,,5,1,,,,,,,,,,,,,,,8,1,,1,,,,,,
2010,June,120,,,,,,,,,69,,,,,,3,,,,,,,,,,,,3,6,2,1,,,,,,
2010,June,110,,,,,,,,,21,,3,,,,7,,,,1,,,,,,,,3,4,2,1,,,,,,
2010,June,80,,,,,,,,,58,,3,1,,2,4,,,,,,,,,,,,13,3,3,2,,,,,,6
2010,June,70,,,,,,,,,44,,4,6,,,2,,,,,,,5,,,,,13,2,1,6,,,,,,16
2010,June,100,,,,,,,,,43,,1,1,,1,2,,,,,,,,,,,,19,1,4,2,,,,,,
2010,June,90,,,,,,,,,28,,1,2,,,5,,,,,,,,,,,,15,,8,2,,,,,,
2011,June,50,,,,,,,,,37,,2,3,,1,,,,,,,,,,,,,4,7,2,2,,,,,,1
2011,June,60,,,,,,,,,56,,4,3,,,3,,,,,,,,,,,,16,19,1,2,,,,,,
2011,June,70,,,,,,,,,14,,,3,,,1,,,,2,,,,,,,,11,5,,3,,,,,,
2011,June,80,,,,,,,,,58,,12,4,,,4,,,,1,,,,,,,,19,13,1,6,,,,,,
2011,June,90,,,,,,,,,6,,,1,,,,,,,,,,,,,,,1,,,,,,,,,
2011,June,100,,,,,,,,,18,,,2,,,1,,,,1,,,,,,,,11,1,2,3,,,,,,
2011,June,110,,,,,,,,,87,,2,,,,,,,,,,,,,,,,6,5,1,2,,,,,,
2011,June,120,,,,,,,,,57,,1,1,,,,,,,,,,,,,,,2,1,2,2,,,,,,
2011,June,130,,,,,,,,,74,,3,2,,,2,,,,1,,,,,,,,10,4,3,,,,,,,
2011,June,140,,,,,,,,,82,,4,1,,2,2,,,,1,,,,,,,,8,20,,1,,,,,,
2011,June,150,,,,,,,,,63,,4,2,,,,,,,,,,,,,,,9,,3,,,,,,,
2011,June,160,,,,,,,,,32,,5,,,,,,,,,,,,,,,,6,7,1,7,,,,,,
2011,June,170,,,,,,,,,74,,,7,,,4,,,,,,,,,,,,22,7,9,,,,,,,
2011,June,180,,,,,,,,,52,,,3,,,,,,,4,1,,,,,,,21,13,2,8,,,,,,1
2013,June,50,,,,,,,,,4,,14,1,,,2,,,,,,,,,,,,10,,2,1,,,,,,
2013,June,60,,,,,,,,,47,,11,2,,,,,,,,1,,,,,,,15,,2,5,,,,,,
2013,June,70,,,,,,,,,4,,6,3,,3,4,,,,3,,,,,,,,8,4,1,1,,,,,,
2013,June,80,,,,,,,,,53,,5,5,,1,2,,,,,1,,,,,,,1,9,1,9,,,,,,
2013,June,90,,,,,,,,,52,,3,3,,1,,,,,,,,,,,,,10,,,3,,,,,,
2013,June,100,,,,,,,,,90,,9,5,,,1,,,,1,,,,,,,,14,,1,7,,,,,,
2013,June,110,,,,,,,,,23,,8,1,,1,,,,,1,,,,,,,,17,1,2,5,,,,,,
2013,June,120,,,,,,,,,90,,10,3,,,,,,,,,,,,,,,11,2,2,3,,,,,,
2013,June,130,,,,,,,,,40,,6,2,,,,,,,1,,,,,,,,7,,5,7,,,,,,
2013,June,140m,,,,,,,,,31,,3,1,,,,,,,1,,,,1,,,,22,,1,4,,,,,,
2014,June,50,,,,,,,,,28,,0,0,,2,0,0,,,0,0,,0,0,,,,15,2,2,0,0,0,0,,0,0
2014,June,60,,,,,,,,,55,,0,0,,0,1,0,,,0,0,,0,0,,,,13,3,0,7,0,0,0,,0,0
2014,June,70,,,,,,,,,23,,0,2,,1,0,1,,,0,0,,1,6,,,,12,6,1,0,0,1,0,,0,0
2014,June,80,,,,,,,,,64,,0,4,,1,0,0,,,0,0,,0,3,,,,6,12,0,8,0,0,0,,0,1
2014,June,90,,,,,,,,,66,,0,2,,62,0,0,,,0,0,,0,1,,,,18,0,4,0,0,0,0,,0,0
2014,June,100,,,,,,,,,112,,0,0,,0,0,0,,,0,0,,0,6,,,,17,0,3,4,0,0,0,,0,0
2014,June,110,,,,,,,,,87,,1,1,,0,0,0,,,0,0,,0,5,,,,7,19,1,13,0,0,0,,0,0
2014,June,120,,,,,,,,,66,,0,2,,1,3,0,,,0,0,,0,5,,,,13,1,2,1,0,0,0,,0,0
2014,June,130,,,,,,,,,24,,4,4,,1,0,0,,,0,0,,0,0,,,,10,3,0,3,0,0,0,,0,0
2014,June,140,,,,,,,,,90,,2,0,,0,0,0,,,1,0,,0,1,,,,10,16,2,0,0,0,0,,0,0
2014,June,150,,,,,,,,,107,,1,0,,2,0,0,,,1,0,,0,1,,,,23,11,2,7,0,0,0,,0,0
2014,June,160,,,,,,,,,129,,1,0,,0,0,0,,,0,0,,0,0,,,,23,16,0,12,0,0,0,,0,0
2015,June,50,,,,,,,,,27,,,,,3,,,,,1,,3,,25,,,,,,,,,,,,,
2015,June,60,,,,,,,,,27,,,,,2,,,,,2,,2,1,,,,,,,,,,,,,,
2015,June,70,,,,,,,,,37,,,,,2,9,,,,,,6,2,39,,,,,,,,,,,,,
2015,June,80,,,,,,,,,18,,,1,,1,,,,,1,,6,,49,,,,,,,,,,,,,
2015,June,90,,,,,,,,,18,,,,,2,,,,,2,,3,,24,,,,,,,,,,,,,
2015,June,100,1,,,,,,1,,45,,,1,,,7,,,1,3,1,11,,37,,,,,,,,,,,,,
2015,June,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,June,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,June,130,2,,,,,,,,26,,,,,,2,,,,,,19,29,,,,,,,,,,,,,,
2015,June,140,1,,,,,,,,31,,,,,,2,,1,1,,,14,13,,,,,,,,,,,,,,
2016,June,50,,0,0,0,0,0,0,1,34,1,0,0,0,1,1,0,0,0,0,0,6,0,5,0,0,,,,,,,,,,,
2016,June,60,,0,0,0,0,0,0,0,20,1,1,0,0,0,0,0,0,0,2,5,18,3,34,0,0,,,,,,,,,,,
2016,June,70,0,0,0,0,0,0,1,1,35,0,0,0,0,5,4,0,0,0,0,3,3,0,2,0,0,,,,,,,,,,,
2016,June,80,1,0,0,0,0,0,0,1,35,4,0,0,0,2,8,0,0,0,1,0,10,0,20,0,0,,,,,,,,,,,
2016,June,90,,0,0,0,0,0,0,0,19,2,0,0,0,0,1,1,0,0,1,0,5,1,0,0,0,,,,,,,,,,,
2016,June,100,0,0,0,0,0,0,0,0,53,2,0,0,0,0,5,0,0,0,2,0,6,1,38,0,0,,,,,,,,,,,
2016,June,110,0,0,0,0,0,0,2,0,18,1,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,,,,,,,,,,,
2016,June,120,0,0,0,0,0,0,0,0,20,1,0,0,0,2,1,0,0,0,4,5,18,0,42,0,0,,,,,,,,,,,
2016,June,130,2,0,0,0,0,0,0,0,17,0,0,0,0,0,2,0,0,0,0,0,7,0,40,0,0,,,,,,,,,,,
2016,June,140,0,0,0,0,0,0,0,1,22,0,0,0,2,0,2,0,0,0,1,1,10,7,66,0,0,,,,,,,,,,,
2016,June,150,7,0,0,0,0,0,4,1,50,0,1,0,0,0,3,0,0,0,1,3,15,10,31,0,0,,,,,,,,,,,
2016,June,160,,0,0,0,0,0,0,1,28,0,0,0,0,0,1,0,0,0,1,1,16,9,85,0,0,,,,,,,,,,,
